dz_2021_code,white,asian,black,mixed,other
N20000767,553,0,3,6,1
N20000768,479,1,0,1,3
N20000769,419,13,34,8,10
N20000770,553,14,6,5,0
N20000771,389,2,5,8,13
N20000772,195,12,14,0,0
N20000773,413,1,9,5,0
N20000774,212,2,9,2,1
N20000775,425,3,5,6,2
N20000776,491,7,23,6,8
N20000777,217,0,2,3,3
N20000778,240,0,3,10,1
N20000779,316,10,10,8,1
N20000780,154,2,7,0,0
N20000781,409,9,0,1,0
N20000782,392,1,8,0,0
N20000783,534,9,21,13,4
N20000784,369,5,6,2,1
N20000785,462,0,0,7,1
N20000786,246,5,20,3,2
N20000787,505,0,8,4,0
N20000788,723,2,6,3,1
N20000789,438,5,0,7,0
N20000790,443,13,5,11,0
N20000791,480,16,1,5,2
N20000792,431,2,0,5,0
N20000793,507,7,1,10,0
N20000794,551,6,7,5,1
N20000795,615,25,0,5,5
N20000796,709,2,0,3,0
N20000797,506,8,4,13,0
N20000798,471,18,5,3,1
N20000799,555,3,1,3,0
N20000800,562,12,7,13,2
N20000801,488,8,3,0,1
N20000802,512,14,0,0,0
N20000803,531,0,3,3,7
N20000804,339,2,2,0,1
N20000805,555,7,7,3,0
N20000806,466,5,0,5,0
N20000807,594,8,0,1,1
N20000808,513,8,0,0,0
N20000809,540,17,0,1,1
N20000810,415,5,1,5,3
N20000811,614,26,2,1,1
N20000812,308,5,0,5,0
N20000813,246,0,1,0,0
N20000814,331,0,0,6,1
N20000815,364,5,0,0,3
N20000816,604,6,0,2,0
N20000817,720,13,1,2,11
N20000818,413,16,4,7,2
N20000819,348,1,6,1,0
N20000820,426,10,0,6,0
N20000821,282,12,7,14,3
N20000822,231,3,4,5,1
N20000823,492,1,4,4,0
N20000824,599,7,20,7,3
N20000825,282,21,9,7,1
N20000826,278,22,0,7,1
N20000827,502,0,0,12,2
N20000828,310,18,4,7,1
N20000829,273,28,18,1,5
N20000830,352,13,0,9,2
N20000831,481,30,4,5,3
N20000832,285,7,11,5,1
N20000833,488,17,10,5,1
N20000834,321,7,9,4,0
N20000835,667,25,20,3,6
N20000836,439,25,18,8,6
N20000837,528,31,14,0,0
N20000838,426,11,12,14,0
N20000839,346,9,1,2,1
N20000840,342,13,4,12,9
N20000841,784,64,23,11,6
N20000842,269,27,14,9,1
N20000843,302,8,14,4,16
N20000844,500,12,0,7,1
N20000845,304,13,11,2,14
N20000846,393,4,13,3,0
N20000847,268,14,17,4,10
N20000848,459,4,2,6,6
N20000849,498,18,45,10,3
N20000850,257,2,14,5,4
N20000851,453,2,8,4,0
N20000852,401,0,30,9,0
N20000853,481,9,39,3,0
N20000854,207,102,6,9,6
N20000855,1145,283,30,26,13
N20000856,432,2,7,1,1
N20000857,371,176,3,13,5
N20000858,414,6,5,3,4
N20000859,352,11,3,8,1
N20000860,478,8,0,4,1
N20000861,399,6,2,2,3
N20000862,450,9,4,7,0
N20000863,312,2,0,5,0
N20000864,187,1,0,1,3
N20000865,372,9,0,13,1
N20000866,349,27,8,16,0
N20000867,363,3,3,24,0
N20000868,335,1,6,32,1
N20000869,370,6,0,12,0
N20000870,400,7,0,0,0
N20000871,386,7,3,6,0
N20000872,424,14,3,12,8
N20000873,317,0,5,6,0
N20000874,304,0,5,3,0
N20000875,439,12,1,4,1
N20000876,239,8,0,8,1
N20000877,500,13,6,7,2
N20000878,304,33,6,5,1
N20000879,253,7,0,5,0
N20000880,398,10,0,8,3
N20000881,437,22,3,5,0
N20000882,263,217,3,13,5
N20000883,351,16,6,0,0
N20000884,278,3,12,9,2
N20000885,359,15,3,12,0
N20000886,443,2,1,9,0
N20000887,624,4,3,4,2
N20000888,472,32,3,11,5
N20000889,275,0,0,5,0
N20000890,454,19,1,4,1
N20000891,330,17,12,12,0
N20000892,485,4,24,4,6
N20000893,469,20,13,12,3
N20000894,537,6,4,0,1
N20000895,212,9,1,6,5
N20000896,699,11,9,10,0
N20000897,402,4,0,0,5
N20000898,251,4,7,7,1
N20000899,384,6,22,25,7
N20000900,328,4,13,13,0
N20000901,333,12,2,4,6
N20000902,592,13,0,0,1
N20000903,412,4,8,4,0
N20000904,480,14,9,10,2
N20000905,358,29,10,10,1
N20000906,202,1,6,7,0
N20000907,361,8,20,11,3
N20000908,359,33,12,20,6
N20000909,688,1,0,4,0
N20000910,360,12,4,6,3
N20000911,262,4,6,3,1
N20000912,306,8,19,10,5
N20000913,293,0,13,10,3
N20000914,315,3,8,13,3
N20000915,270,2,1,5,0
N20000916,353,26,20,3,0
N20000917,415,7,2,7,4
N20000918,310,8,15,1,0
N20000919,404,5,2,9,1
N20000920,308,10,5,3,0
N20000921,298,1,5,5,0
N20000922,385,12,17,3,2
N20000923,348,6,0,11,7
N20000924,383,37,40,7,19
N20000925,207,15,11,5,0
N20000926,306,9,4,0,2
