dz_2021_code,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000464,15,9,33,58,21,5,5,40,3
N20000465,22,12,12,20,9,7,9,12,2
N20000466,37,47,25,33,11,28,18,15,12
N20000467,13,32,32,49,19,9,7,16,4
N20000468,28,42,18,30,8,22,19,19,18
N20000469,35,24,49,39,21,18,15,35,5
N20000470,12,22,31,57,15,8,4,12,10
N20000471,12,9,31,93,28,7,6,10,3
N20000472,22,28,36,55,23,15,11,18,9
N20000473,11,22,31,42,27,7,5,13,5
N20000474,23,28,51,71,39,5,10,36,8
N20000475,13,15,51,78,28,2,7,24,6
N20000476,10,12,24,60,25,7,14,11,11
N20000477,13,26,29,54,26,17,11,14,11
N20000478,17,27,35,63,30,8,11,13,10
N20000479,17,17,21,33,17,16,15,14,2
N20000480,10,11,28,64,14,13,5,5,6
N20000481,26,20,27,61,33,5,23,36,6
N20000482,24,16,45,74,46,9,9,27,15
N20000483,7,28,52,106,9,10,6,9,5
N20000484,15,22,32,48,30,15,16,23,4
N20000485,18,16,18,75,20,22,19,22,6
N20000486,8,29,41,86,16,8,9,8,3
N20000487,19,15,32,52,38,1,4,24,7
N20000488,15,14,31,62,22,11,5,21,5
N20000489,9,19,20,33,23,17,8,24,11
N20000490,36,55,25,33,26,60,35,15,19
N20000491,32,32,18,18,15,31,16,21,7
N20000492,17,17,31,34,34,16,17,21,7
N20000493,34,20,36,32,53,5,17,37,6
N20000494,33,31,26,27,36,39,26,11,13
N20000495,5,20,18,91,20,22,6,2,8
N20000496,20,37,44,57,34,26,6,19,13
N20000497,2,14,21,77,9,7,4,4,4
N20000498,22,105,22,22,3,25,9,9,28
N20000499,7,30,15,72,7,28,11,4,8
N20000500,15,54,19,22,12,12,9,10,16
N20000501,2,39,47,95,4,9,1,2,2
N20000502,14,38,32,49,14,8,9,13,8
N20000503,62,34,18,22,20,4,7,26,5
N20000504,13,55,12,25,9,16,12,9,10
N20000505,42,94,12,14,4,12,17,10,6
N20000506,21,121,19,26,7,22,12,11,16
N20000507,34,47,45,64,15,29,15,25,6
N20000508,14,40,21,19,10,23,16,15,9
N20000509,16,50,15,12,8,23,11,7,14
N20000510,19,22,40,67,19,9,8,27,13
N20000511,34,33,25,33,25,19,19,16,13
N20000512,26,78,25,35,11,25,15,9,13
N20000513,17,25,18,46,12,8,9,16,2
N20000514,16,21,26,54,13,14,12,12,12
N20000515,45,70,30,32,10,34,17,14,10
N20000516,46,79,14,28,13,20,16,20,4
N20000517,39,52,34,32,16,20,16,19,7
N20000518,10,16,34,39,24,3,15,24,9
N20000519,29,52,13,20,7,11,10,17,5
N20000520,21,25,43,81,30,11,9,18,5
N20000521,19,29,37,77,27,9,13,27,7
N20000522,31,16,20,34,21,14,16,30,12
N20000523,35,43,26,35,12,16,16,20,6
N20000524,61,100,15,18,7,23,16,24,6
N20000525,53,78,16,13,9,27,14,14,12
N20000526,17,68,24,26,3,11,11,7,8
N20000527,37,61,30,46,12,26,8,13,10
N20000528,29,47,14,22,20,28,14,13,3
N20000529,26,36,19,48,8,23,11,14,7
N20000530,3,29,17,73,3,25,6,1,7
N20000531,24,17,22,41,19,9,8,19,4
N20000532,22,78,8,7,6,9,14,11,5
N20000533,35,38,27,26,9,8,3,20,5
N20000534,34,41,17,31,9,19,13,8,9
N20000535,11,22,27,57,11,27,5,5,8
N20000536,20,18,47,76,28,46,15,13,10
N20000537,42,30,30,36,25,12,10,31,5
N20000538,7,32,22,81,16,27,14,8,17
N20000539,36,29,15,30,10,22,18,24,8
N20000540,22,42,13,36,9,25,20,15,12
N20000541,21,48,20,29,24,23,16,26,10
N20000542,23,33,31,36,24,8,14,31,8
N20000543,10,32,16,38,17,39,17,8,10
N20000544,33,39,37,47,20,16,11,26,5
N20000545,15,19,24,40,25,9,8,30,4
N20000546,24,28,22,18,5,15,9,12,6
N20000547,34,32,28,48,10,24,12,33,5
N20000548,35,33,29,26,18,21,12,23,13
N20000549,28,25,42,55,24,11,8,58,9
N20000550,3,25,31,72,9,13,7,8,3
N20000551,49,25,39,47,34,4,9,45,6
N20000552,30,36,49,73,19,7,7,18,10
N20000553,22,51,56,77,21,11,11,21,12
N20000554,12,33,26,57,13,13,9,16,4
N20000555,28,33,32,44,17,19,15,28,2
N20000556,16,34,23,23,13,12,14,7,6
N20000557,13,8,40,38,27,4,4,27,3
N20000558,19,48,43,82,22,24,3,19,7
N20000559,11,19,25,49,20,6,5,27,5
N20000560,13,30,21,31,14,5,4,11,5
N20000561,28,39,46,95,28,12,12,35,1
N20000562,8,10,27,43,33,1,3,20,3
N20000563,24,9,41,66,34,8,15,45,9
N20000564,10,54,39,57,14,25,8,10,4
N20000565,30,42,40,51,14,14,14,22,8
N20000566,23,44,18,45,10,27,16,11,4
N20000567,32,48,44,65,20,24,12,23,8
N20000568,10,38,54,72,7,10,3,13,3
N20000569,37,29,37,59,37,10,13,30,10
N20000570,58,58,16,15,13,31,15,11,8
N20000571,29,45,61,51,19,21,21,12,4
N20000572,10,42,75,90,16,17,5,17,5
