dz_2021_code,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20000512,19,45,138,8,303
N20000513,26,24,114,26,194
N20000514,18,42,165,19,243
N20000515,26,23,147,17,313
N20000516,11,38,90,3,329
N20000517,19,42,138,11,284
N20000518,24,55,130,19,233
N20000519,10,24,81,9,191
N20000520,28,60,221,32,336
N20000521,32,63,187,56,337
N20000522,28,44,133,11,282
N20000523,26,34,120,12,252
N20000524,13,25,74,11,399
N20000525,12,22,91,7,278
N20000526,19,35,102,16,171
N20000527,13,43,138,10,323
N20000528,19,39,95,7,258
N20000529,19,39,126,14,262
N20000530,13,46,173,8,236
N20000531,15,39,137,10,208
N20000532,4,18,51,6,182
N20000533,10,20,108,12,187
N20000534,18,38,104,14,215
N20000535,18,43,170,16,234
N20000536,22,90,277,22,440
N20000537,23,44,150,10,270
N20000538,36,81,188,13,371
N20000539,13,32,100,4,283
N20000540,13,39,133,12,256
N20000541,12,60,116,8,290
N20000542,26,56,148,20,244
N20000543,25,57,110,8,310
N20000544,23,47,148,13,309
N20000545,17,52,131,17,233
N20000546,16,26,83,6,163
N20000547,23,48,137,19,321
N20000548,10,39,149,9,282
N20000549,29,65,173,18,354
N20000550,21,49,193,31,205
N20000551,19,59,148,36,362
N20000552,27,53,191,32,321
N20000553,33,68,238,36,337
N20000554,18,50,163,16,231
N20000555,25,53,152,19,263
N20000556,13,31,120,12,144
N20000557,19,46,139,13,223
N20000558,29,83,230,26,346
N20000559,24,52,127,36,223
N20000560,22,33,98,25,144
N20000561,28,69,259,39,380
N20000562,31,51,131,37,184
N20000563,31,74,175,50,371
N20000564,22,61,186,28,263
N20000565,28,58,182,23,282
N20000566,14,47,126,12,299
N20000567,27,67,169,35,385
N20000568,21,44,216,22,232
N20000569,45,58,172,43,366
N20000570,18,41,85,12,278
N20000571,21,58,212,30,298
N20000572,32,84,259,40,318
N20000573,45,71,245,33,333
N20000574,32,61,196,24,414
N20000575,23,64,221,35,251
N20000576,36,56,242,27,238
N20000577,26,48,182,26,206
N20000578,23,43,183,26,328
N20000579,32,49,172,52,307
N20000580,45,82,216,47,405
N20000581,15,44,166,13,185
N20000582,36,81,156,50,327
N20000583,30,56,123,42,265
N20000584,32,65,249,37,301
N20000585,28,42,104,41,264
N20000586,30,37,137,46,296
N20000587,31,81,220,47,366
N20000588,21,60,142,52,281
N20000589,13,54,128,23,239
N20000590,19,50,117,23,244
N20000591,16,48,104,38,245
N20000592,27,59,174,54,340
N20000593,21,53,153,42,340
N20000594,22,39,117,27,206
N20000595,30,59,178,31,318
N20000596,11,43,134,14,251
N20000597,11,35,124,13,154
N20000598,8,33,88,13,354
N20000599,25,52,125,30,259
N20000600,21,52,161,18,290
N20000601,15,41,108,14,268
N20000602,27,37,145,25,239
N20000603,27,44,154,14,366
N20000604,14,20,73,12,182
N20000605,19,30,94,21,227
N20000606,20,41,101,25,213
N20000607,15,32,79,16,164
N20000608,12,53,128,22,234
N20000609,38,65,217,24,289
N20000610,28,62,165,24,265
N20000611,22,39,84,7,259
N20000612,23,35,76,8,313
N20000613,13,41,106,11,157
N20000614,34,80,182,66,416
N20000615,18,40,61,0,293
N20000616,10,33,79,4,217
N20000617,10,40,104,7,170
N20000618,22,47,100,6,245
N20000619,17,37,89,10,237
N20000620,28,32,174,29,350
N20000621,36,112,257,29,365
N20000622,18,36,110,14,282
N20000623,20,40,168,18,284
N20000624,6,18,42,8,224
N20000625,19,62,150,20,278
N20000626,25,42,106,20,271
N20000627,30,53,138,17,289
N20000628,25,45,133,24,238
N20000629,25,39,147,40,224
N20000630,19,29,67,13,274
N20000631,12,47,85,6,228
N20000632,23,50,92,13,252
N20000633,20,45,125,14,202
N20000634,13,31,73,6,272
N20000635,21,59,261,38,267
N20000636,34,67,169,18,282
N20000637,25,46,146,30,327
N20000638,28,57,161,24,212
N20000639,16,54,162,13,285
N20000640,39,68,218,38,360
N20000641,29,56,212,32,397
N20000642,22,40,118,39,201
