dz_2021_code,white,irish_traveller,roma,indian,chinese,filipino,pakistani,arab,other_asian,black_african,black_other,mixed,other_ethnicities
N20000398,368,0,1,5,0,8,0,0,9,46,15,5,0
N20000399,405,2,2,0,3,1,0,0,1,12,9,7,0
N20000400,282,0,7,16,0,3,0,0,30,65,22,22,11
N20000401,631,0,0,0,2,0,0,0,0,0,0,0,2
N20000402,752,0,0,12,4,0,0,0,1,0,5,10,3
N20000403,315,0,1,12,0,3,0,0,9,81,17,14,11
N20000404,607,0,0,0,1,0,0,0,3,6,5,7,0
N20000405,459,0,0,0,1,0,0,0,0,8,4,22,0
N20000406,292,0,0,0,0,0,0,0,0,2,0,0,0
N20000407,392,0,0,0,0,0,0,0,5,0,0,5,1
N20000408,316,0,0,0,0,0,1,0,0,0,1,0,3
N20000409,236,1,0,0,0,0,0,0,0,0,0,0,1
N20000410,329,0,0,0,2,0,0,0,0,17,0,3,0
N20000411,459,1,0,0,0,9,5,0,0,29,7,16,0
N20000412,505,0,0,0,0,6,0,0,1,4,4,5,1
N20000413,678,0,0,12,0,4,0,0,0,3,0,9,1
N20000414,463,0,0,0,0,3,0,0,0,0,0,3,3
N20000415,445,0,0,0,0,0,0,0,0,0,0,0,0
N20000416,634,0,0,0,0,2,0,0,0,0,0,4,0
N20000417,569,0,0,4,4,0,0,0,0,0,0,2,0
N20000418,708,1,0,0,1,4,0,0,0,0,0,0,0
N20000419,477,0,0,0,1,0,0,0,0,0,0,5,1
N20000420,471,0,0,1,0,0,0,0,0,0,0,1,0
N20000421,710,0,0,0,0,0,0,0,0,0,0,1,0
N20000422,793,0,0,0,0,0,0,0,0,0,1,2,0
N20000423,771,0,0,5,0,0,0,0,1,0,0,1,0
N20000424,789,0,0,0,0,0,0,0,1,2,0,0,2
N20000425,311,0,0,0,0,0,0,1,0,0,0,5,1
N20000426,550,0,0,0,0,0,0,0,0,0,0,0,0
N20000427,581,1,0,0,0,0,6,1,1,0,1,2,0
N20000428,839,0,0,1,2,0,0,0,2,1,1,6,2
N20000429,362,0,0,0,0,1,0,0,0,0,0,2,3
N20000430,440,0,0,3,0,0,0,0,0,8,0,3,0
N20000431,500,6,0,4,0,0,2,0,0,2,0,5,1
N20000432,555,6,0,0,0,1,0,0,0,7,0,5,0
N20000433,642,0,0,6,21,7,13,0,5,11,0,14,0
N20000434,507,56,0,0,0,4,0,4,9,14,11,7,0
N20000435,660,1,0,0,3,8,5,0,5,7,2,7,1
N20000436,455,0,2,0,1,0,0,0,11,7,0,5,0
N20000437,351,0,0,1,2,0,0,0,4,6,3,0,1
N20000438,324,0,0,5,16,6,0,0,7,3,0,0,4
N20000439,418,32,0,0,0,2,0,0,0,2,1,2,0
N20000440,371,0,0,0,0,0,0,0,2,11,11,7,4
N20000441,419,11,1,2,0,0,0,0,0,6,7,2,0
