dz_2021_code,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20002642,348,109,21,4,31,2,66,4
N20002643,256,167,16,1,30,0,38,13
N20002644,9,212,45,0,25,1,60,3
N20002645,41,385,46,17,89,0,92,7
N20002646,295,217,33,15,99,0,71,8
N20002647,66,411,41,9,68,3,116,9
N20002648,28,359,65,9,92,1,127,7
N20002649,99,179,17,1,58,4,43,4
N20002650,37,217,31,5,41,2,67,7
N20002651,28,241,39,7,49,6,71,7
N20002652,37,241,108,6,69,5,124,14
N20002653,27,289,24,28,75,6,72,3
N20002654,11,334,113,14,74,16,103,6
N20002655,236,114,41,9,39,10,91,17
N20002656,13,255,83,7,60,0,63,9
N20002657,10,137,62,0,18,1,47,8
N20002658,160,208,60,5,80,5,84,4
N20002659,15,106,54,2,41,1,57,2
N20002660,18,200,64,6,72,0,53,1
N20002661,23,170,48,10,27,5,74,4
N20002662,45,370,54,5,84,2,84,13
N20002663,149,241,71,6,155,5,112,9
N20002664,104,261,36,18,53,1,101,9
N20002665,9,120,29,10,28,8,60,5
N20002666,62,170,52,15,77,4,93,22
N20002667,37,152,17,8,41,2,84,9
N20002668,63,275,48,14,56,4,105,6
N20002669,27,165,56,6,87,4,131,16
N20002670,35,283,39,6,85,15,73,20
N20002671,47,201,79,17,109,13,196,18
N20002672,16,84,16,2,41,2,51,2
N20002673,8,146,75,1,51,0,153,11
N20002674,82,189,36,14,51,1,55,5
N20002675,19,176,29,5,38,3,43,6
N20002676,61,281,62,8,119,3,131,15
N20002677,39,260,54,4,113,0,93,5
N20002678,29,314,53,10,82,6,142,6
N20002679,11,237,44,5,57,3,85,1
N20002680,12,163,93,2,39,2,100,5
N20002681,32,282,80,7,51,5,144,6
N20002682,24,287,112,3,65,1,161,4
N20002683,14,202,45,10,52,5,108,5
N20002684,24,184,32,7,37,1,65,8
N20002685,196,55,43,6,12,0,39,4
N20002686,326,19,22,6,12,4,23,10
N20002687,502,13,21,4,3,1,44,8
N20002688,370,38,7,0,4,1,29,8
N20002689,168,93,43,7,66,0,91,5
N20002690,211,79,25,9,45,6,38,4
N20002691,279,168,56,6,31,6,93,5
N20002692,140,170,35,14,20,2,88,4
N20002693,65,101,63,7,21,0,82,1
N20002694,124,150,32,17,23,3,79,1
N20002695,111,152,39,35,32,4,83,5
N20002696,137,109,42,21,39,3,65,4
N20002697,140,140,47,18,30,1,69,1
N20002698,177,71,38,11,40,3,99,8
N20002699,116,178,44,36,38,3,106,4
N20002700,111,102,38,15,64,0,86,0
N20002701,120,105,32,5,24,1,79,6
N20002702,51,98,35,15,22,0,77,6
N20002703,63,71,35,10,23,1,44,2
N20002704,42,122,29,24,20,3,65,4
N20002705,69,112,38,21,33,4,118,5
N20002706,79,92,29,8,20,1,61,3
N20002707,56,158,51,6,28,4,94,5
N20002708,57,119,39,22,32,7,72,5
N20002709,39,318,103,16,46,0,179,11
N20002710,86,182,60,28,29,2,143,5
N20002711,93,113,33,23,27,1,86,5
N20002712,51,91,35,21,18,5,69,9
N20002713,84,149,43,37,29,5,105,2
N20002714,61,144,55,10,36,1,89,17
N20002715,157,137,56,27,34,2,87,5
N20002716,156,222,77,39,35,4,237,4
N20002717,92,82,26,7,20,2,63,2
N20002718,140,102,35,16,23,2,116,7
N20002719,60,175,51,10,33,3,99,4
N20002720,170,88,30,13,23,3,69,14
N20002721,80,38,31,0,8,1,32,8
N20002722,59,128,71,16,41,8,82,7
N20002723,46,117,61,14,28,8,129,20
N20002724,74,99,23,9,20,7,78,5
N20002725,45,83,32,7,33,4,61,3
N20002726,138,187,71,24,27,4,90,3
N20002727,117,95,51,2,42,5,99,18
N20002728,105,105,58,17,23,3,94,9
N20002729,36,55,16,3,16,0,19,6
N20002730,80,131,59,25,38,3,103,1
N20002731,99,166,64,22,52,3,162,10
N20002732,70,164,41,14,29,0,99,3
N20002733,121,119,36,13,40,3,103,3
N20002734,45,70,47,9,36,11,57,8
N20002735,92,132,52,23,58,6,131,20
N20002736,57,142,44,16,45,3,73,9
N20002737,126,164,44,15,60,4,146,6
N20002738,83,88,54,17,43,4,134,0
N20002739,25,296,65,19,20,10,174,6
N20002740,54,233,101,25,39,5,141,3
N20002741,14,209,78,13,37,3,110,8
N20002742,61,410,73,27,85,13,169,9
N20002743,22,345,117,26,85,8,269,10
N20002744,37,380,78,22,72,2,187,8
N20002745,16,225,79,12,30,2,160,2
N20002746,13,350,38,47,82,4,127,7
N20002747,23,322,80,17,36,3,123,3
N20002748,22,180,37,22,33,11,147,7
N20002749,16,133,38,12,45,0,119,1
N20002750,14,142,60,9,45,0,91,2
N20002751,27,217,73,27,59,5,153,7
N20002752,9,126,55,7,40,0,93,0
N20002753,18,177,62,7,50,3,108,6
N20002754,34,53,27,12,41,1,127,1
N20002755,54,155,64,37,57,8,120,3
N20002756,42,73,71,22,33,8,128,7
N20002757,67,126,67,13,41,2,166,7
N20002758,37,114,56,16,47,3,136,5
N20002759,24,55,26,19,15,1,77,4
N20002760,60,85,45,12,51,10,191,8
N20002761,66,103,88,30,64,11,190,7
N20002762,99,138,78,26,52,9,217,10
N20002763,18,185,52,23,44,0,119,4
N20002764,40,139,97,38,64,5,159,6
N20002765,43,169,98,28,65,7,175,3
N20002766,13,68,51,29,44,3,84,0
N20002767,27,87,85,15,53,6,130,5
N20002768,37,225,143,72,135,8,204,12
N20002769,45,157,74,33,75,3,172,6
N20002770,51,211,104,32,104,9,189,1
N20002771,26,88,48,15,40,2,106,1
N20002772,3,110,34,29,49,5,143,6
N20002773,24,114,55,40,42,1,108,4
N20002774,38,202,92,43,100,12,268,8
N20002775,41,232,148,42,114,9,179,4
N20002776,22,61,42,20,42,2,81,4
N20002777,21,128,77,34,52,0,112,2
N20002778,43,218,98,27,79,3,206,15
N20002779,25,129,63,26,41,7,143,13
N20002780,32,154,86,37,64,4,169,18
N20002781,21,174,82,31,82,3,194,6
N20002782,13,125,60,15,35,6,99,13
N20002783,18,117,78,20,54,2,93,4
N20002784,18,100,38,37,29,5,126,8
N20002785,16,109,66,17,50,6,85,0
N20002786,49,133,94,33,62,10,120,5
N20002787,32,97,47,32,40,1,143,8
N20002788,27,142,59,19,55,4,121,11
N20002789,63,129,104,37,39,6,126,6
N20002790,42,109,70,24,49,11,230,4
N20002791,22,101,44,30,33,12,115,6
N20002792,47,121,71,34,62,4,115,6
N20002793,25,90,43,34,33,2,57,15
N20002794,23,113,55,31,40,2,158,15
N20002795,29,144,67,19,52,3,152,29
N20002796,42,87,44,19,36,18,156,7
N20002797,51,97,55,23,40,8,205,11
N20002798,49,70,43,17,29,17,151,16
N20002799,95,133,51,22,40,6,155,3
N20002800,57,116,79,27,60,16,150,8
N20002801,22,75,28,15,31,5,34,3
N20002802,18,421,72,43,152,9,189,10
N20002803,27,144,60,34,34,10,125,7
N20002804,37,201,107,52,61,9,143,8
N20002805,31,132,91,36,63,4,122,2
N20002806,31,127,76,18,54,5,155,11
N20002807,16,81,68,31,34,2,51,1
N20002808,39,204,135,34,77,0,159,7
N20002809,32,267,79,34,86,5,134,6
N20002810,18,117,69,25,48,4,137,3
N20002811,24,110,43,38,43,0,92,6
N20002812,5,84,33,16,35,0,80,3
N20002813,11,131,65,33,51,2,165,7
N20002814,64,148,119,69,66,7,149,13
N20002815,5,77,46,18,26,2,108,5
N20002816,11,77,51,31,31,2,136,5
N20002817,18,105,72,28,31,6,141,10
N20002818,20,142,84,39,39,0,176,8
N20002819,20,168,86,37,48,0,181,15
N20002820,38,115,71,18,30,2,97,5
N20002821,26,133,132,27,68,4,228,11
N20002822,41,113,89,41,83,9,202,3
N20002823,62,194,101,29,79,4,218,3
N20002824,34,68,27,7,17,7,81,0
N20002825,83,241,99,29,72,4,184,10
N20002826,38,177,84,33,72,3,166,4
N20002827,51,130,42,19,80,1,158,3
N20002828,32,42,61,30,53,8,150,1
N20002829,26,79,111,51,92,19,177,9
N20002830,60,97,59,34,62,18,158,5
N20002831,26,68,51,36,25,6,95,6
N20002832,60,165,51,17,77,4,157,6
N20002833,24,77,63,34,47,2,143,12
N20002834,19,63,86,28,50,0,100,1
N20002835,60,108,92,29,95,15,221,7
N20002836,102,135,63,23,47,9,178,9
N20002837,280,60,11,0,45,0,17,1
N20002838,588,206,59,1,54,1,92,14
N20002839,426,90,20,5,32,0,25,9
N20002840,300,168,114,0,38,9,51,3
N20002841,516,3,10,0,6,0,18,1
N20002842,462,1,0,0,9,1,10,5
N20002843,404,112,96,2,10,0,36,5
N20002844,234,94,81,2,72,1,47,5
N20002845,668,48,5,0,9,0,18,13
N20002846,74,288,165,4,45,4,67,10
N20002847,545,2,1,0,0,0,5,6
N20002848,643,66,41,7,21,2,39,3
N20002849,444,38,29,0,11,0,30,12
N20002850,396,15,10,2,2,0,27,4
N20002851,727,46,39,1,13,4,53,6
N20002852,537,5,5,0,4,1,42,12
N20002853,183,355,81,1,70,0,58,11
N20002854,386,10,8,0,2,1,28,3
N20002855,205,56,92,2,10,0,33,8
N20002856,340,4,10,1,7,0,24,2
N20002857,171,102,150,3,29,0,77,8
N20002858,401,34,17,0,8,0,41,14
N20002859,728,12,6,0,0,2,22,3
N20002860,680,30,14,1,18,9,52,8
N20002861,421,7,5,0,9,0,21,3
N20002862,493,11,4,0,5,2,17,3
N20002863,645,12,19,1,16,3,30,5
N20002864,511,3,0,0,5,0,7,6
N20002865,500,29,1,0,8,0,22,9
N20002866,619,24,22,0,6,1,10,2
N20002867,114,218,284,8,191,2,77,2
N20002868,565,88,34,8,34,0,42,4
N20002869,526,19,15,0,2,0,21,8
N20002870,554,18,27,0,9,4,41,7
N20002871,435,163,67,13,39,9,45,5
N20002872,192,131,225,5,90,5,55,3
N20002873,464,4,1,0,1,0,26,2
N20002874,364,4,4,0,4,3,16,0
N20002875,502,4,11,7,9,0,23,6
N20002876,160,126,107,5,93,4,40,6
N20002877,317,85,74,1,26,6,29,5
N20002878,386,2,3,0,5,0,17,4
N20002879,473,222,141,12,102,14,78,19
N20002880,303,75,73,1,42,3,62,5
N20002881,188,158,111,6,43,2,65,12
N20002882,655,42,48,3,30,3,24,6
N20002883,236,88,86,2,32,5,55,11
N20002884,358,74,100,10,48,8,76,6
N20002885,717,7,14,0,7,6,37,7
N20002886,236,78,73,2,74,2,38,3
N20002887,786,3,9,0,15,7,39,5
N20002888,506,18,9,0,0,0,21,5
N20002889,162,152,77,2,40,1,23,8
N20002890,562,31,6,0,20,2,19,0
N20002891,395,143,104,0,63,2,60,13
N20002892,455,22,27,0,33,0,37,8
N20002893,429,20,58,0,23,0,30,12
N20002894,467,42,46,1,27,5,37,9
N20002895,247,11,17,1,26,4,50,9
N20002896,228,24,39,3,38,10,44,1
N20002897,136,19,25,0,8,16,20,5
N20002898,270,57,27,1,25,1,61,6
N20002899,261,55,113,4,43,1,75,13
N20002900,278,33,30,1,11,9,49,4
N20002901,153,22,35,0,10,5,51,4
N20002902,252,31,73,1,54,8,56,10
N20002903,404,50,58,3,34,2,61,6
N20002904,361,37,65,4,42,48,59,5
N20002905,208,44,55,1,52,13,69,14
N20002906,251,10,16,0,8,5,36,4
N20002907,184,69,147,7,81,0,88,11
N20002908,456,51,73,3,58,27,83,4
N20002909,345,89,57,5,53,18,80,7
N20002910,299,65,58,5,39,8,65,2
N20002911,494,122,71,0,53,0,35,7
N20002912,352,106,88,1,67,3,78,5
N20002913,80,185,73,4,60,2,41,6
N20002914,205,146,73,4,85,4,42,14
N20002915,233,150,140,6,97,7,35,4
N20002916,505,35,32,1,16,2,32,5
N20002917,385,69,96,0,36,0,46,6
N20002918,415,65,63,1,21,0,31,6
N20002919,314,102,81,0,14,1,35,7
N20002920,247,188,118,12,53,0,36,16
N20002921,158,83,116,9,49,1,47,3
N20002922,239,76,109,2,30,3,52,8
N20002923,255,61,90,3,48,2,58,5
N20002924,259,91,139,6,47,0,90,7
N20002925,317,14,134,0,33,1,30,12
N20002926,160,186,138,9,72,0,28,11
N20002927,418,27,33,2,5,0,15,6
N20002928,361,191,149,16,56,3,51,3
N20002929,615,1,2,0,11,1,12,4
N20002930,569,56,32,1,21,0,24,2
N20002931,139,153,150,3,38,0,51,4
N20002932,130,102,113,7,63,5,55,7
N20002933,407,16,38,1,13,0,14,4
N20002934,91,125,130,16,66,8,56,7
N20002935,43,50,117,21,47,1,28,4
N20002936,411,0,1,0,0,0,9,1
N20002937,223,108,131,14,53,4,60,30
N20002938,50,134,238,39,71,2,120,8
N20002939,41,55,125,0,28,0,57,2
N20002940,203,78,95,11,44,12,130,9
N20002941,369,44,98,2,44,7,103,5
N20002942,288,170,95,14,49,2,34,5
N20002943,291,48,62,1,34,6,90,0
N20002944,115,122,114,12,55,1,38,4
N20002945,171,5,12,0,5,7,13,1
N20002946,260,10,20,0,27,2,47,8
N20002947,123,23,34,0,34,5,42,12
N20002948,724,9,27,0,7,2,22,20
N20002949,329,36,38,3,23,6,66,1
N20002950,246,21,38,4,22,8,85,6
N20002951,209,87,73,1,39,1,34,1
N20002952,123,92,151,6,89,1,43,5
N20002953,357,57,54,3,19,6,58,19
N20002954,474,57,57,12,27,5,68,8
N20002955,324,25,39,4,7,1,50,7
N20002956,581,14,7,0,5,4,56,4
N20002957,425,9,28,2,25,7,90,6
N20002958,205,12,18,4,13,3,30,2
N20002959,470,59,32,0,48,1,15,4
N20002960,99,80,108,12,54,0,58,9
N20002961,346,14,22,4,20,10,93,11
N20002962,348,23,52,2,41,6,94,9
N20002963,332,27,54,4,21,1,57,3
N20002964,333,50,108,7,29,5,82,5
N20002965,286,28,47,4,12,3,66,15
N20002966,656,26,50,4,18,1,33,14
N20002967,147,109,181,17,53,5,57,6
N20002968,67,107,124,2,44,7,37,1
N20002969,109,104,133,3,54,4,65,22
N20002970,542,16,28,0,1,0,36,6
N20002971,444,102,102,10,42,0,58,6
N20002972,483,13,5,0,5,0,30,6
N20002973,527,80,66,3,11,0,32,2
N20002974,339,81,63,9,12,0,11,12
N20002975,707,1,1,4,2,0,14,4
N20002976,646,1,3,0,6,0,10,1
N20002977,396,0,3,1,2,2,2,2
N20002978,478,1,1,0,2,0,14,9
N20002979,103,170,125,6,126,2,28,6
N20002980,503,14,8,0,1,1,30,3
N20002981,64,137,153,8,46,1,50,10
N20002982,552,30,25,2,20,0,20,8
N20002983,361,25,55,0,10,2,34,16
N20002984,421,47,42,7,30,0,38,6
N20002985,67,185,203,5,74,1,39,3
N20002986,376,94,60,1,29,3,16,2
N20002987,210,119,92,0,13,1,36,2
N20002988,302,56,47,0,30,2,21,8
N20002989,472,19,29,1,9,0,13,7
N20002990,544,20,66,0,0,0,24,7
N20002991,447,6,2,0,4,0,22,5
N20002992,305,72,93,4,25,1,18,5
N20002993,676,27,15,1,13,0,19,13
N20002994,136,103,177,7,77,7,88,3
N20002995,523,2,7,1,10,0,24,8
N20002996,205,69,76,2,18,1,29,3
N20002997,558,4,5,0,12,0,36,5
N20002998,631,40,24,1,3,0,16,3
N20002999,419,3,3,1,6,4,44,6
N20003000,553,1,1,1,1,0,8,5
N20003001,333,1,0,0,3,0,24,18
N20003002,285,4,2,1,7,0,30,80
N20003003,247,9,7,0,3,7,31,9
N20003004,179,72,144,6,40,4,36,5
N20003005,196,4,4,0,3,0,24,0
N20003006,612,3,5,2,19,5,76,6
N20003007,334,30,18,0,2,0,30,2
N20003008,280,7,10,0,7,1,45,15
N20003009,636,19,64,1,8,4,52,7
N20003010,502,7,7,0,15,0,38,19
N20003011,447,7,12,0,11,1,28,19
N20003012,507,1,3,0,4,3,32,11
N20003013,623,11,21,2,17,8,33,7
N20003014,303,5,8,2,3,3,25,2
N20003015,487,1,6,0,1,0,6,4
N20003016,466,0,0,0,0,0,14,1
N20003017,442,0,0,0,1,0,16,2
N20003018,418,21,43,15,24,7,26,5
N20003019,302,32,124,15,16,3,43,6
N20003020,503,12,4,0,16,10,101,9
N20003021,377,20,42,0,19,0,24,8
N20003022,547,3,15,4,20,10,58,12
N20003023,449,1,16,0,10,1,46,10
N20003024,283,96,118,20,49,1,58,3
N20003025,445,9,19,0,19,5,39,5
N20003026,313,9,7,0,9,0,52,5
N20003027,186,41,125,7,50,2,86,5
N20003028,342,4,11,0,22,13,34,4
N20003029,389,10,17,6,11,1,55,7
N20003030,521,5,19,0,29,7,52,11
N20003031,516,41,44,1,33,17,72,9
N20003032,545,3,1,0,26,27,80,10
N20003033,499,1,3,0,5,16,56,4
N20003034,237,10,26,0,17,4,39,6
N20003035,324,2,5,0,4,3,25,0
N20003036,227,29,112,23,29,7,33,7
N20003037,286,3,9,0,17,5,41,8
N20003038,327,13,33,8,31,12,103,8
N20003039,412,60,92,17,57,12,112,24
N20003040,331,74,150,17,69,8,96,6
N20003041,589,5,6,0,12,0,49,14
N20003042,514,7,27,3,21,7,61,16
N20003043,325,54,102,10,39,8,64,7
N20003044,218,40,57,20,30,22,48,16
N20003045,232,41,109,5,32,9,71,6
N20003046,356,41,111,18,20,2,79,11
N20003047,294,38,69,14,24,12,85,7
N20003048,132,88,291,36,92,0,104,5
N20003049,208,69,73,20,38,5,65,4
N20003050,432,112,109,11,67,14,100,14
N20003051,186,34,78,6,40,6,74,3
N20003052,41,104,154,11,31,6,45,2
N20003053,10,112,245,17,81,2,50,15
N20003054,189,36,99,17,56,0,59,5
N20003055,162,48,150,10,60,3,45,4
N20003056,293,94,203,31,85,2,78,7
N20003057,337,115,83,26,104,2,57,8
N20003058,379,28,25,2,28,0,54,12
N20003059,397,18,29,1,57,1,92,16
N20003060,208,3,46,1,6,0,17,4
N20003061,408,8,19,0,19,6,55,4
N20003062,669,72,91,13,81,6,65,20
N20003063,973,13,17,0,3,3,52,7
N20003064,560,35,33,2,6,0,53,7
N20003065,500,114,115,12,9,5,59,7
N20003066,266,64,127,9,42,4,83,7
N20003067,363,13,41,0,16,1,30,2
N20003068,387,5,16,1,13,0,24,8
N20003069,351,96,138,8,54,1,76,5
N20003070,287,180,74,8,78,4,61,8
N20003071,328,137,58,10,24,0,18,8
N20003072,177,53,91,10,37,2,58,4
N20003073,583,63,61,0,38,0,13,10
N20003074,352,200,71,2,59,0,19,8
N20003075,460,38,53,5,18,1,27,7
N20003076,308,11,21,1,10,0,29,13
N20003077,290,105,48,21,33,0,41,16
N20003078,479,45,26,7,22,1,32,3
N20003079,479,91,86,5,15,6,45,8
N20003080,166,128,64,7,33,0,21,2
N20003081,293,116,91,9,63,2,42,11
N20003082,258,54,17,0,22,2,22,2
N20003083,244,86,76,0,19,3,23,17
N20003084,168,186,129,9,55,5,29,7
N20003085,230,110,68,5,45,3,25,3
N20003086,299,66,73,2,58,8,24,2
N20003087,152,45,51,1,6,0,19,5
N20003088,293,66,126,6,16,4,55,10
N20003089,463,59,139,37,35,0,58,9
N20003090,222,59,100,5,30,6,51,15
N20003091,242,77,113,1,19,3,47,8
N20003092,297,187,87,2,50,6,53,8
N20003093,275,98,143,17,40,3,29,4
N20003094,81,82,293,23,45,0,45,12
N20003095,121,167,161,0,23,4,68,6
N20003096,518,34,27,1,3,1,13,9
N20003097,75,63,204,40,60,4,86,5
N20003098,158,23,96,10,29,1,77,11
N20003099,77,62,138,21,42,1,71,2
N20003100,200,66,96,7,72,10,63,12
N20003101,323,107,64,5,27,1,22,2
N20003102,173,196,78,3,25,8,62,5
N20003103,469,175,63,2,79,2,38,10
N20003104,314,88,76,2,72,8,107,14
N20003105,256,230,98,7,57,4,47,6
N20003106,285,11,8,0,7,0,10,6
N20003107,618,61,57,1,16,0,49,5
N20003108,179,52,26,17,8,0,24,2
N20003109,232,27,48,7,3,7,104,4
N20003110,500,49,59,17,9,4,68,13
N20003111,477,18,22,3,8,0,45,7
N20003112,354,23,4,0,5,9,47,9
N20003113,580,32,60,4,18,9,74,13
N20003114,403,10,9,0,20,2,26,2
N20003115,816,12,14,2,7,6,56,6
N20003116,333,4,8,3,2,1,19,9
N20003117,321,7,13,4,3,1,20,6
N20003118,274,10,3,0,7,8,19,14
N20003119,177,16,19,2,7,2,35,8
N20003120,378,5,7,0,5,6,49,13
N20003121,663,26,18,0,1,1,38,7
N20003122,492,0,0,0,2,0,20,7
N20003123,475,3,9,4,12,3,26,7
N20003124,710,6,2,0,5,1,27,4
N20003125,248,186,74,1,144,11,45,10
N20003126,788,9,8,4,23,1,40,6
N20003127,610,7,18,0,11,0,61,5
N20003128,608,29,58,0,16,4,76,18
N20003129,724,0,1,0,7,2,33,3
N20003130,611,5,0,0,5,1,52,12
N20003131,521,17,5,1,12,0,31,2
N20003132,284,0,3,0,1,1,31,13
N20003133,873,5,4,1,6,2,29,10
N20003134,299,9,0,0,6,1,22,8
N20003135,465,1,7,0,3,0,62,16
N20003136,452,1,1,0,4,0,49,10
N20003137,687,6,6,2,8,3,30,12
N20003138,405,3,4,0,8,0,35,5
N20003139,385,3,3,0,3,1,22,3
N20003140,547,3,7,1,0,0,18,8
N20003141,287,2,0,0,0,2,11,9
N20003142,534,1,7,0,4,1,32,3
N20003143,456,1,2,0,1,3,31,8
N20003144,542,13,4,0,6,1,28,5
N20003145,432,0,6,0,4,0,20,2
N20003146,407,6,8,1,8,1,10,20
N20003147,497,6,15,0,10,5,28,6
N20003148,533,3,0,1,8,0,15,2
N20003149,843,1,2,0,6,4,55,18
N20003150,501,3,5,0,7,1,22,6
N20003151,433,2,0,0,10,0,25,2
N20003152,395,0,6,0,1,6,24,7
N20003153,670,6,5,0,4,0,22,18
N20003154,361,129,86,8,29,15,67,25
N20003155,590,19,14,1,21,19,67,4
N20003156,532,22,8,4,13,10,33,11
N20003157,511,4,0,4,17,9,44,3
N20003158,260,16,8,5,11,5,53,8
N20003159,349,2,0,1,17,3,31,5
N20003160,378,5,6,0,5,8,49,5
N20003161,423,34,23,5,10,10,78,7
N20003162,376,5,2,0,10,0,44,6
N20003163,370,19,22,3,8,8,44,4
N20003164,403,2,8,2,7,4,36,10
N20003165,446,17,3,3,14,6,57,6
N20003166,295,3,0,0,3,3,17,2
N20003167,464,2,0,1,4,9,29,5
N20003168,352,7,12,0,13,5,40,2
N20003169,667,5,6,4,23,5,47,6
N20003170,367,7,3,0,9,5,74,9
N20003171,236,10,1,2,10,4,31,10
N20003172,329,8,4,0,30,2,63,15
N20003173,511,3,11,1,8,2,39,14
N20003174,281,3,3,0,22,8,47,8
N20003175,352,10,12,1,5,2,35,14
N20003176,468,2,2,0,12,16,62,17
N20003177,443,9,0,0,10,11,37,8
N20003178,341,8,10,4,29,1,85,10
N20003179,242,6,4,1,44,9,65,6
N20003180,459,6,4,5,30,0,53,7
N20003181,359,3,1,4,15,5,59,4
N20003182,456,14,9,0,14,4,31,1
N20003183,420,7,2,2,5,8,48,12
N20003184,511,2,5,1,9,2,23,9
N20003185,405,1,3,0,23,9,37,26
N20003186,521,1,1,1,15,1,43,10
N20003187,380,9,4,0,15,1,55,4
N20003188,446,0,4,0,6,10,33,4
N20003189,469,2,27,2,15,3,55,4
N20003190,176,11,4,0,12,4,57,16
N20003191,505,5,3,0,5,12,41,4
N20003192,414,3,7,0,9,4,31,0
N20003193,407,6,6,1,22,8,60,3
N20003194,589,0,10,0,1,5,40,6
N20003195,443,5,4,0,8,3,52,5
N20003196,426,3,6,6,10,4,64,5
N20003197,693,6,5,0,16,5,64,4
N20003198,476,10,4,2,6,6,34,7
N20003199,287,0,11,0,17,5,21,5
N20003200,917,1,27,2,7,5,89,13
N20003201,354,2,2,1,4,1,21,15
N20003202,526,11,4,1,7,2,28,15
N20003203,499,0,3,0,6,0,29,5
N20003204,668,2,18,0,2,2,52,3
N20003205,544,4,4,0,8,1,22,3
N20003206,419,0,0,0,5,1,26,5
N20003207,508,29,12,1,14,2,32,5
N20003208,175,181,16,1,56,2,21,4
N20003209,267,129,17,0,76,10,59,6
N20003210,320,69,26,4,15,0,37,9
N20003211,515,46,0,4,9,0,24,3
N20003212,560,143,26,0,14,0,55,8
N20003213,493,185,32,0,65,7,54,2
N20003214,617,137,18,2,47,0,104,10
N20003215,438,103,47,15,30,9,59,4
N20003216,583,77,20,1,14,3,30,6
N20003217,459,11,4,0,2,5,38,7
N20003218,591,7,8,0,5,6,32,1
N20003219,427,38,7,0,16,0,23,1
N20003220,494,6,2,1,12,1,28,1
N20003221,717,7,11,0,20,4,77,4
N20003222,524,27,8,0,23,0,25,1
N20003223,424,11,0,1,6,2,36,2
N20003224,406,6,6,0,0,0,14,2
N20003225,711,13,12,1,2,3,15,2
N20003226,693,0,1,0,11,1,30,5
N20003227,711,2,4,1,8,1,24,12
N20003228,469,6,7,0,17,8,49,7
N20003229,449,25,14,0,13,6,34,6
N20003230,625,11,8,0,13,2,24,5
N20003231,616,1,2,0,5,2,46,7
N20003232,389,14,6,1,2,2,20,7
N20003233,536,3,3,0,12,5,46,9
N20003234,621,11,0,0,18,1,45,3
N20003235,515,19,26,6,17,1,42,3
N20003236,640,9,23,1,26,1,68,13
N20003237,468,12,11,2,34,2,30,0
N20003238,427,11,7,2,18,17,52,2
N20003239,526,1,4,0,13,3,58,9
N20003240,587,10,33,2,11,1,64,3
N20003241,507,11,3,0,30,9,88,8
N20003242,313,7,9,0,25,12,74,5
N20003243,493,6,5,0,15,6,53,4
N20003244,536,3,3,0,9,4,47,6
N20003245,272,3,0,1,0,0,34,10
N20003246,364,2,4,0,12,1,63,14
N20003247,185,6,8,2,5,0,33,1
N20003248,332,11,7,0,15,9,52,4
N20003249,234,2,4,0,11,8,36,5
N20003250,426,3,16,1,14,4,50,3
N20003251,176,3,2,0,8,0,37,10
N20003252,351,7,6,2,10,5,35,4
N20003253,351,11,12,1,21,5,61,10
N20003254,300,5,5,2,6,7,57,9
N20003255,298,9,18,2,13,12,85,22
N20003256,324,11,14,0,41,0,67,14
N20003257,494,89,37,0,16,0,62,13
N20003258,333,8,5,0,5,1,36,9
N20003259,323,43,49,4,34,0,76,12
N20003260,540,0,4,0,1,2,42,5
N20003261,456,146,16,1,16,0,52,2
N20003262,384,43,36,3,14,5,95,3
N20003263,373,31,16,2,5,6,69,12
N20003264,348,45,23,1,22,3,62,4
N20003265,371,15,25,2,5,7,45,2
N20003266,387,52,60,3,11,1,99,5
N20003267,304,22,27,2,7,0,37,10
N20003268,350,67,28,3,17,5,97,3
N20003269,366,13,24,1,9,0,71,6
N20003270,323,49,30,13,20,0,77,8
N20003271,240,39,19,0,16,13,75,4
N20003272,369,45,18,15,12,8,134,14
N20003273,367,58,29,5,26,9,88,3
N20003274,445,51,44,3,15,3,122,15
N20003275,281,69,36,1,29,2,58,2
N20003276,558,23,32,0,1,3,34,9
N20003277,241,39,31,5,19,1,100,5
N20003278,211,45,42,6,30,0,155,18
N20003279,190,18,22,0,11,6,108,1
N20003280,447,13,4,0,1,1,36,7
N20003281,340,101,59,0,49,0,46,6
N20003282,464,137,44,0,42,2,52,5
N20003283,423,103,33,0,16,0,39,2
N20003284,426,31,29,0,17,1,61,2
N20003285,96,143,76,2,50,0,55,11
N20003286,38,220,111,3,42,1,56,3
N20003287,24,219,151,11,57,2,72,2
N20003288,233,254,51,1,90,4,41,4
N20003289,312,112,35,2,50,2,42,8
N20003290,420,118,36,2,31,6,56,16
N20003291,381,167,5,0,17,1,41,6
N20003292,156,306,69,0,134,8,59,24
N20003293,331,314,61,2,41,2,54,6
N20003294,274,124,35,1,22,0,36,11
N20003295,443,32,15,1,11,11,63,2
N20003296,221,90,31,1,36,0,27,10
N20003297,232,168,86,0,57,1,93,5
N20003298,32,282,75,0,39,3,52,2
N20003299,473,46,35,0,13,0,76,11
N20003300,95,372,92,2,80,5,50,6
N20003301,136,154,82,0,81,20,95,15
N20003302,545,11,12,1,6,7,46,8
N20003303,191,80,28,3,27,17,74,1
N20003304,457,143,89,0,45,0,113,21
