dz_2021_code,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20000824,91,67,43,25,3
N20000825,102,34,21,14,0
N20000826,63,42,24,9,0
N20000827,91,70,22,4,0
N20000828,63,63,36,9,0
N20000829,64,55,43,18,0
N20000830,50,45,45,19,5
N20000831,93,79,53,7,2
N20000832,41,46,47,15,2
N20000833,84,81,46,28,4
N20000834,40,59,41,20,0
N20000835,107,115,100,32,3
N20000836,56,68,98,56,12
N20000837,110,87,62,13,2
N20000838,85,57,39,11,2
N20000839,57,53,44,9,1
N20000840,56,49,36,18,5
N20000841,130,105,67,23,0
N20000842,52,50,44,21,1
N20000843,42,62,46,43,5
N20000844,46,73,78,37,2
N20000845,53,42,36,13,0
N20000846,44,61,38,25,1
N20000847,37,55,51,21,5
N20000848,43,54,66,27,0
N20000849,61,83,67,27,7
N20000850,24,37,39,36,9
N20000851,30,49,74,54,5
N20000852,36,62,61,40,3
N20000853,34,77,89,58,17
N20000854,61,104,21,5,0
N20000855,85,97,37,15,0
N20000856,46,70,55,32,2
N20000857,148,143,19,6,0
N20000858,64,59,52,33,7
N20000859,119,50,34,10,0
N20000860,82,67,55,15,1
N20000861,72,73,41,5,0
N20000862,96,72,45,12,0
N20000863,63,44,24,9,3
N20000864,29,33,23,9,5
N20000865,89,57,41,18,3
N20000866,95,67,30,8,0
N20000867,60,55,48,17,2
N20000868,81,61,36,13,0
N20000869,84,50,34,11,0
N20000870,27,48,65,55,2
N20000871,80,59,46,14,1
N20000872,126,60,38,8,1
N20000873,34,53,49,24,1
N20000874,19,31,44,34,4
N20000875,94,67,40,19,4
N20000876,75,41,21,6,0
N20000877,40,73,84,47,9
N20000878,74,46,16,4,1
N20000879,72,38,32,7,0
N20000880,42,51,60,44,6
N20000881,110,81,44,24,1
N20000882,85,117,25,13,3
N20000883,89,64,45,11,0
N20000884,35,50,45,40,10
N20000885,82,56,42,25,3
N20000886,36,52,63,41,9
N20000887,54,68,81,72,2
N20000888,129,67,37,16,0
N20000889,71,32,11,1,0
N20000890,106,62,22,3,0
N20000891,66,55,70,26,5
N20000892,52,74,75,46,6
N20000893,66,90,68,40,3
N20000894,49,84,66,28,3
