dz_2021_code,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20003679,39,65,32,4,1
N20003680,97,113,39,7,1
N20003681,84,57,15,2,0
N20003682,51,67,63,21,4
N20003683,59,57,25,6,0
N20003684,103,93,22,2,1
N20003685,100,68,22,6,0
N20003686,76,52,15,5,0
N20003687,79,68,24,2,0
N20003688,91,50,10,1,0
N20003689,66,62,20,5,0
N20003690,69,47,25,1,0
N20003691,74,68,36,7,0
N20003692,14,47,26,20,1
N20003693,106,69,10,0,0
N20003694,67,75,34,2,0
N20003695,109,87,20,1,0
N20003696,94,105,36,3,0
N20003697,116,81,14,0,0
N20003698,113,104,41,7,0
N20003699,78,68,35,14,2
N20003700,158,76,26,2,0
N20003701,103,68,27,4,0
N20003702,60,57,17,3,0
N20003703,68,45,34,7,0
N20003704,118,91,20,1,0
N20003705,91,55,23,4,0
N20003706,77,58,19,1,0
N20003707,82,74,43,11,5
N20003708,124,85,33,9,0
N20003709,110,76,41,11,0
N20003710,40,46,19,3,0
N20003711,34,50,39,24,2
N20003712,108,114,36,9,1
N20003713,55,47,36,10,0
N20003714,130,70,20,1,0
N20003715,57,74,34,11,0
N20003716,98,79,27,12,0
N20003717,86,42,5,0,0
N20003718,69,82,57,22,4
N20003719,130,100,22,2,0
N20003720,39,70,47,42,8
N20003721,74,71,20,6,1
N20003722,92,85,30,1,0
N20003723,31,51,52,31,4
N20003724,46,63,31,6,0
N20003725,98,87,48,15,4
N20003726,57,56,21,2,0
N20003727,56,66,34,7,0
N20003728,118,68,30,4,0
N20003729,133,55,17,1,0
N20003730,62,50,24,3,0
N20003731,71,51,16,0,0
N20003732,69,96,58,28,5
N20003733,86,75,41,10,0
N20003734,104,83,38,13,0
N20003735,53,82,64,44,7
N20003736,54,49,28,4,1
N20003737,57,47,31,13,1
N20003738,105,110,58,6,1
N20003739,175,121,34,8,0
N20003740,88,63,32,4,0
N20003741,57,60,41,16,3
N20003742,53,48,34,14,2
N20003743,126,113,51,7,0
N20003744,62,57,44,7,0
N20003745,67,68,33,5,0
N20003746,88,67,33,7,0
N20003747,82,65,23,6,0
N20003748,61,64,39,4,0
N20003749,64,39,40,16,6
N20003750,44,86,57,26,6
N20003751,48,69,57,18,0
N20003752,59,65,44,8,1
N20003753,74,47,24,19,1
N20003754,66,82,62,16,3
N20003755,79,72,22,8,0
N20003756,66,84,52,29,4
N20003757,105,112,53,12,0
N20003758,115,115,87,11,2
N20003759,55,71,68,15,0
N20003760,69,60,37,9,1
N20003761,107,74,43,8,0
N20003762,61,55,32,5,0
N20003763,85,72,28,10,0
N20003764,37,61,43,11,0
N20003765,28,52,50,22,4
N20003766,95,83,43,17,0
N20003767,48,62,31,8,2
N20003768,55,65,59,19,1
N20003769,84,62,24,6,0
N20003770,67,65,34,11,0
N20003771,118,101,41,5,1
N20003772,78,72,40,22,1
N20003773,111,89,43,12,0
N20003774,73,62,24,2,1
N20003775,73,77,70,18,6
N20003776,59,62,32,9,2
N20003777,46,66,57,24,5
N20003778,54,77,39,15,2
N20003779,64,71,55,32,10
N20003780,76,62,27,6,0
